;17020_final_value2_mean;17020_final_value2_SD;17020_final_value2_Kurtosis;17020_final_value2_Skewness;17318_final_value2_mean;17318_final_value2_SD;17318_final_value2_Kurtosis;17318_final_value2_Skewness;;Durchmesser
17010847_7920034821240220;3.463155948;10.28476544;27.93111562;5.372845004;5.372848162;6.355877168;36.4354681;3.977582195;18.1515;18.15148333
17010847_7920039811210220;2.831726481;6.752971052;75.92625111;8.785631077;10.70566253;14.99266496;3347.573853;53.58142412;18.1499;18.1499
17010847_7920067821180220;3.477103675;10.07833352;29.16415897;5.480022016;7.364760712;5.98286414;27.76886489;2.961203276;18.1498;18.14983333
17010847_7920045821250220;3.772903928;9.769630346;31.67965135;5.743453075;6.3326896;6.070929719;28.38951878;3.055426775;18.151;18.151
17010847_7920044831250220;3.452624604;10.33449056;28.39786961;5.455036699;5.598235891;4.99403777;46.42277481;4.236547942;18.1497;18.14965
17010847_7920046811210220;3.498650447;10.25376834;31.29534129;5.720239854;9.282370123;6.0194427;25.70981133;2.620965436;18.1494;18.14943333
17010847_7920044831210220;3.462010458;10.02095385;30.35936211;5.626122759;4.916315734;5.28878286;34.69069066;3.558112639;18.1497;18.14973333
17010847_7920039841210220;3.48670011;9.734843535;28.73287615;5.44866774;5.816480931;5.927812536;23.81345124;2.765505714;18.1511;18.1511
17010847_7920045831210220;3.480492477;10.03497744;30.17313837;5.61140991;5.25228706;5.422104848;29.50424291;3.21426578;18.1497;18.14971667
17010847_7920034841240220;3.53988635;10.11361622;26.04557021;5.198364369;6.208281839;5.299022626;15.80235572;1.956643204;18.1487;18.1487
17010847_7920008811240220;3.534910495;10.62590036;28.74079312;5.492125478;3.374817829;4.784761736;74.80163123;5.918672955;18.1521;18.1521
17010847_7920023821240220;3.56856852;9.540341935;33.06262084;5.829092569;5.290668534;6.418946523;33.9185887;3.839052208;18.1515;18.15153333
17010847_7920045821210220;3.572272777;10.02450919;29.44676197;5.510058567;10.24487353;7.238099659;18.09839975;2.121622962;18.1496;18.14961667
17008296_7920005841250220;3.482511781;10.48913542;27.1916826;5.34400775;6.20061027;5.065658312;18.99434198;1.989774742;18.15;18.14995
17008296_7920008821250220;3.458739989;10.89573472;26.77866904;5.288213419;4.831218675;5.426195219;48.34315245;4.369645681;18.1512;18.15123333
17010847_7920030811240220;3.54272119;10.60891798;28.87586964;5.504251088;3.61364305;4.91263329;66.94092503;5.511564495;18.1515;18.15151667
17008296_7920004841250220;3.412496802;10.39547995;27.92342301;5.407430427;6.345056256;5.062950458;19.10989584;1.955332781;18.1497;18.14971667
17010847_7920010811240220;3.569395731;10.76039876;27.8354008;5.412805665;4.131008566;5.277586773;50.45351653;4.570025695;18.1519;18.15193333
17010847_7920063821180220;3.634138682;9.902599719;30.45980515;5.60247216;7.389575262;6.221989849;21.30392101;2.656687803;18.15;18.14995
17008296_7920004821250220;3.705813793;11.48062992;23.69904521;4.987727084;5.469418479;5.573978031;41.05654537;3.818860255;18.1512;18.15116667
17008296_7920006821250220;3.499873606;10.8224778;26.91450468;5.289708447;5.096778523;4.936755776;38.9250658;3.245438436;18.1512;18.1512
17008296_7920005821250220;3.716988854;11.47455127;23.74208948;4.990891173;4.637984706;4.839555431;41.93983124;3.475489629;18.1513;18.1513
17010847_7920053811210220;3.634473545;10.59268255;29.08349611;5.528063519;9.000043554;6.302814436;20.9954671;2.265639247;18.1495;18.14953333
17008296_7920006841250220;3.597749289;10.68804703;26.07351815;5.24391077;6.66532112;15.143045;3417.588871;55.34588201;18.1503;18.15026667
17010847_7920040821210220;3.671975145;9.851142349;30.88667976;5.647710515;9.575754031;6.638746623;23.9789622;2.72284866;18.1499;18.14988333
17010847_7920040811210220;3.62700899;10.57908221;29.13307207;5.5329349;9.33567037;6.402139439;19.60652753;2.144234339;18.1497;18.1497
17010847_7920044841210220;3.630023904;9.289633481;31.64872237;5.702476738;5.142570501;5.845741997;33.98682493;3.846231317;18.1496;18.14963333
17010847_7920041821210220;3.691001098;10.03053454;29.33006919;5.507255506;9.09209057;7.057282987;20.47465473;2.555200054;18.1499;18.14988333
17010847_7920045841210220;3.624556169;9.264041385;32.0496337;5.745209602;5.279538317;5.591434202;25.75786333;2.959393362;18.1501;18.15008333
17008296_7920007821250220;3.755289157;11.64868983;22.85600706;4.903404949;4.748281654;5.414183612;45.568172;4.209031617;18.1511;18.15111667
17010847_7920058811210220;3.662274364;10.57839417;29.08007407;5.531228282;9.129755385;6.449880495;18.96686595;2.094861743;18.1495;18.14946667
17010847_7920066811180220;3.113213951;7.652655065;57.62175016;7.689237748;8.039981021;5.285617457;25.89287959;2.390961205;18.1497;18.14968333
17010847_7920035821240220;3.785875171;11.21526851;22.57132621;4.869084855;3.268950804;5.069890952;74.10776375;6.285528905;18.1518;18.15176667
17010847_7920008821240220;3.878070325;9.816892897;30.7579822;5.643552379;5.693590268;5.831820582;28.31598383;2.997635743;18.1524;18.1524
17010847_7920011831240220;3.670416047;10.2831665;28.288272;5.4477642;4.501950208;4.853259293;53.8079668;4.774122442;18.1499;18.14986667
17010847_7920046831210220;3.668548234;10.26898729;28.52731021;5.46940825;5.113577559;5.541201674;29.46860011;3.216981322;18.1496;18.14958333
17010847_7920030831240220;3.674410733;10.32037529;28.22800621;5.44112915;4.92807056;4.773590605;55.80025944;4.895540506;18.1491;18.14906667
17010847_7920063841180220;3.712929825;9.595846694;29.32991549;5.499519296;4.962546984;5.969776021;33.52631738;3.79164943;18.1507;18.15073333
17010847_7920008831240220;3.702098247;10.26987473;28.30565429;5.448948429;4.026342335;4.690807349;59.29336384;5.116269436;18.1498;18.149845
17010847_7920044821210220;3.790947307;10.39718649;26.94369526;5.290338953;11.1023554;6.433230765;20.42823539;2.141023038;18.1496;18.14958333
17010847_7920043811210220;3.749175921;11.10769157;25.88222788;5.238402854;9.50599375;6.708376223;16.6606791;1.894731341;18.1493;18.14931667
17008296_7920008841250220;3.802533151;11.32027581;22.12689501;4.834681811;5.337093075;5.088769442;39.07746975;3.764946926;18.1498;18.14981667
17010847_7920006811240220;3.782769755;12.02192833;21.43311188;4.797891949;4.016950816;5.40485336;51.73907949;4.774158082;18.1523;18.15225
17010847_7920047811210220;3.757081199;10.71485909;28.17795597;5.450066256;10.25650889;5.514348886;22.60042094;2.165571109;18.1496;18.14958333
17010847_7920030821240220;3.821591078;9.826337995;30.74724273;5.639949416;4.925807955;5.970372377;43.94375563;4.535379256;18.1518;18.15176667
17010847_7920047831210220;3.752730444;10.2727351;28.49523042;5.469178047;4.168211955;5.007965114;46.79799916;4.493386108;18.1496;18.1496
17010847_7920009841240220;3.776401592;9.496356874;29.82932184;5.53774163;6.564951782;6.168853188;26.20940882;3.207055389;18.1497;18.14971667
17010847_7920031821240220;3.835209341;9.996999344;29.57031044;5.53535649;5.299954985;5.942594385;31.4516571;3.409016014;18.1519;18.15188333
17010847_7920043821210220;3.836480421;10.32232572;27.38385779;5.331789982;8.641601923;6.693664053;28.07059388;3.253196784;18.1496;18.14958333
17010847_7920063811180220;3.796146652;10.56819008;29.03057864;5.527404218;6.998086169;5.405079085;42.18758204;3.838891096;18.1495;18.14953333
17010847_7920031811240220;3.800745604;10.74966866;27.90120065;5.424622971;4.522955927;4.83743078;43.21402567;3.744857274;18.1522;18.15223333
17010847_7920035841240220;3.776967105;9.661487711;28.91344947;5.472690519;6.299670524;5.644820457;28.71991115;3.198915246;18.1487;18.14873333
17010847_7920053831210220;3.777040936;10.82120375;25.27179031;5.17071666;4.878046759;5.703030356;30.79775446;3.528000504;18.1494;18.14943333
17010847_7920007841240220;4.148725168;9.970462688;26.88249322;5.332516694;7.204226934;5.832072624;21.98267595;2.426663045;18.1495;18.14945
17010847_7920022811240220;3.856087134;11.99517099;21.45744111;4.801036066;4.020512324;5.300062155;55.42967787;4.95338635;18.1518;18.15183333
17010847_7920033841240220;3.870654126;10.22125785;25.12748339;5.118996211;6.500299637;4.99751873;19.63577438;2.20482767;18.1489;18.14888333
17010847_7920043831210220;3.819582057;10.44177973;27.38146839;5.369237906;5.26041864;6.107963415;33.93158286;3.778935883;18.1499;18.14991667
17010847_7920009831240220;3.833246684;10.24448336;28.3941485;5.461359858;5.490657221;4.604664472;35.49885676;3.25124556;18.1499;18.1499
17010847_7920042821210220;3.957677133;11.17935683;22.60224383;4.871482519;10.44820257;7.519143102;16.19857687;2.029412866;18.1496;18.14963333
17010847_7920041811210220;3.885800768;10.72435247;28.0464868;5.443322463;11.26661345;5.379695068;23.33985069;2.202738529;18.1501;18.15006667
17010847_7920032811240220;3.889275141;10.87801859;27.02793604;5.346204257;5.194344947;5.563206252;37.99275199;3.670523515;18.1514;18.15141667
17010847_7920043841210220;3.934104486;9.685479008;28.51862562;5.440043704;5.951183123;5.485929189;15.19992278;1.936624737;18.1497;18.14968333
17010847_7920008841240220;3.877981413;9.449231549;30.14865661;5.590132118;6.202377441;5.557054328;27.51363132;3.018196056;18.15;18.15001667
17010847_7920020831240220;3.893302596;11.68338141;20.97360199;4.747747984;4.998802481;5.099652419;46.53196592;4.372024456;18.1497;18.14968333
17010847_7920006821240220;4.332329019;11.00546108;23.28777389;4.962934787;3.696560306;5.184576843;67.81513086;5.850965523;18.1521;18.15206667
17010847_7920007831240220;3.321050579;7.566537283;54.71607477;7.459752183;4.733329217;4.297490042;51.82489751;4.241039707;18.1498;18.14981667
17010847_7920030841240220;3.931162593;9.518555563;29.65357671;5.540680859;6.288424685;5.647021381;24.24201942;2.889018798;18.1491;18.14905
17010847_7920011841240220;3.91042136;9.458255006;30.24420453;5.599338504;6.159162536;5.360628481;33.32172326;3.529564601;18.1494;18.14938333
17010847_7920033811240220;3.936925159;10.51247936;29.22721405;5.556531465;4.520087541;5.318163835;49.07457954;4.4854943;18.1515;18.15146667
17010847_7920023841240220;3.952244309;9.731031496;28.07427126;5.396987955;5.807104167;6.085791989;32.9600127;3.823664101;18.1491;18.14911667
17010847_7920063831180220;3.925550239;10.26654842;28.42012523;5.467975593;4.250009419;4.581492824;38.64231556;3.525175329;18.1511;18.15111667
17010847_7920020811240220;3.988717059;11.08098804;25.7985671;5.232844769;4.190888543;4.682619637;51.93371644;4.237010444;18.1523;18.15231667
17010847_7920058831210220;3.988607094;11.67020512;21.05275277;4.75796492;5.010034709;5.496229595;34.35236192;3.630340253;18.1498;18.14975
17010847_7920040831210220;4.08917551;11.6024579;21.15130482;4.768377252;4.350394481;5.190674225;41.34495296;4.092369896;18.1499;18.14993333
17008296_7920009841250220;3.850520351;6.527819655;29.58696638;4.27699794;5.207284535;5.189994859;38.71405058;3.788997535;18.1496;18.14963333
17010847_7920021831240220;4.053398437;11.86668657;20.03789585;4.651203674;4.66841019;4.748384397;35.73186871;3.479839342;18.1492;18.14918333
17010847_7920065841180220;4.042566485;10.13198429;25.81506297;5.197840814;5.255155801;5.139237232;20.35617921;2.305696571;18.1511;18.15105
17010847_7920035831240220;4.041700658;10.36784059;27.53381446;5.39218031;5.61416383;5.591849296;41.5677293;4.399417703;18.1491;18.14908333
17010847_7920042841210220;4.118202415;11.0425322;20.86430815;4.701997416;5.922164165;5.287440819;19.60936294;2.19440629;18.1502;18.15016667
17010847_7920065831180220;4.115212508;10.93616162;24.30354213;5.083930833;3.065663425;4.912975346;80.0203084;6.95895309;18.1512;18.1512
17008296_7920007841250220;4.059094709;11.22203018;21.73043421;4.738824129;5.424387768;5.343161411;33.29335158;3.369994278;18.1503;18.15031667
17010847_7920010831240220;4.302083656;12.34670024;18.00005713;4.432267409;5.648694956;5.970918467;33.25637801;3.73422166;18.1498;18.1498
17010847_7920022831240220;4.146715944;12.38553206;18.02171695;4.433390333;5.601810603;5.98696606;31.57185787;3.589853957;18.1493;18.14933333
17010847_7920031841240220;4.146650884;10.30134705;24.64921245;5.088453063;6.738304163;15.10893478;3365.144097;54.22439337;18.1489;18.14893333
17010847_7920041831210220;4.163183243;11.59139908;21.1557771;4.770836398;4.788602723;5.479092261;34.85985271;3.684601866;18.1498;18.14983333
17010847_7920021821240220;4.246065046;10.89046969;23.95842046;5.020171534;6.133606688;6.3797052;32.10715904;3.502840621;18.1519;18.15191667
17010847_7920040841210220;4.246470068;10.75921626;22.11968467;4.837439015;5.146491744;6.106891458;31.0935828;3.748235368;18.1497;18.14973333
17010847_7920038841210220;3.425627119;9.898193564;27.69988532;5.356514043;5.761110593;5.382676989;14.57679866;1.839801978;18.1498;18.14983333
17010847_7920022821240220;4.303763104;11.07696778;22.93532957;4.920184084;3.818648002;5.827890367;59.80986154;5.840813407;18.1518;18.15178333
17010847_7920065811180220;4.255322668;11.93274784;21.61018807;4.820859687;7.005936532;6.190738261;35.15975548;3.793430026;18.1501;18.1501
17010847_7920020841240220;4.491372268;10.70276226;22.15123228;4.846576443;5.057469472;5.025501597;52.72530324;4.913187841;18.1495;18.14946667
17010847_7920009811240220;4.366378588;12.69114301;18.30339166;4.467025481;5.349985476;6.160084399;40.14773684;4.173535209;18.1519;18.1519
17010847_7920033831240220;4.315060073;10.89314984;24.4639465;5.108358593;4.604150045;5.393084991;59.22163125;5.762522305;18.1491;18.14911667
17010847_7920038811210220;4.375521356;11.85686331;21.81341704;4.846759762;10.52244688;6.706568457;15.5132822;1.62879342;18.1498;18.14983333
17010847_7920035811240220;4.42173397;11.86674729;21.70049107;4.837112376;5.265480842;5.708269927;37.54701934;3.68722823;18.1518;18.1518
17010847_7920011811240220;4.512409161;12.68917359;18.32067263;4.473078834;3.924143132;4.774575858;19.00420428;2.366729685;18.1518;18.1518
17010847_7920010841240220;4.52360031;11.35542521;19.24919491;4.543341097;6.266451829;5.74321827;26.05696425;2.947033498;18.1497;18.14965
17010847_7920032831240220;4.531182312;12.33377652;18.00024352;4.435113473;6.456820831;5.953901894;31.6075159;3.532619467;18.1496;18.14955
17010847_7920011821240220;4.673026398;11.76463882;19.60324277;4.578889724;5.618362392;5.827089442;36.72378856;3.690535082;18.1521;18.15205
17010847_7920022841240220;4.710556502;11.38804858;18.95086197;4.511969981;5.775834164;5.188780365;40.37030231;4.021337729;18.1491;18.14905
17010847_7920006841240220;5.037646048;11.94468137;16.64066952;4.256839259;5.871697674;5.219786768;36.2623578;3.667741586;18.1495;18.1495
17008296_7920005811250220;7.929284501;5.332269155;-1.662512234;0.136077881;4.504354818;6.872898597;27.55040351;3.655578221;18.1509;18.15086667
17008296_7920007811250220;7.970468237;5.269619009;-1.641119924;0.065672063;5.137165642;6.952540725;24.63272436;3.279420405;18.1511;18.15108333
17008296_7920006811250220;8.145150823;5.415809326;-1.63407694;0.110242972;4.516567114;6.75824855;30.83829336;3.87633956;18.1508;18.15076667
17008296_7920004811250220;8.285001592;5.357033512;-1.606944763;0.123723373;5.05538165;7.178855396;22.09617904;3.170177966;18.1508;18.15076667
17008296_7920008811250220;8.570127811;5.473266593;-1.594292787;0.063280102;4.909961998;6.925061737;25.4122219;3.394402551;18.151;18.15103333
17008296_7920009811250220;9.023097622;5.3735345;-1.489995464;-0.199942592;2.951754595;5.559789843;45.44266671;4.802891458;18.1511;18.15113333
17008296_7920007831250220;16.76416455;6.494926079;-0.237352756;0.140702223;4.99501529;6.735208172;20.1330475;2.981106332;18.15;18.15003333
17008296_7920008831250220;16.98197808;6.239183352;0.084413185;0.097438472;4.753651731;6.521109713;22.41490975;3.157447975;18.15;18.15001667
17008296_7920005831250220;16.96330466;7.237231599;3.958075862;0.363594216;4.463182442;6.333430519;30.39520208;3.86553946;18.1498;18.14976667
17008296_7920006831250220;17.30874872;8.239470981;3.410713925;0.332767956;4.259856943;6.236926491;31.69181179;3.964841628;18.15;18.15003333
17008296_7920004831250220;17.37845469;6.713305664;0.15391098;-0.038596125;4.854227124;6.78057408;22.75918448;3.271118049;18.1499;18.14991667
17008296_7920009831250220;18.51830996;6.791282263;-0.209845168;-0.032377993;3.391022155;5.561869314;32.63426409;3.873220483;18.1499;18.1499
